strike,dip,rake
1.510000000000000000e+02,4.450000000000000000e+01,-9.200000000000000000e+01
1.560000000000000000e+02,5.000000000000000000e+01,-1.500000000000000000e+01
1.010000000000000000e+02,4.100000000000000000e+01,-9.400000000000000000e+01
7.700000000000000000e+01,4.400000000000000000e+01,-1.240000000000000000e+02
2.910000000000000000e+02,4.500000000000000000e+01,-6.400000000000000000e+01
1.140000000000000000e+02,6.195888113063882940e+01,-6.300000000000000000e+01
1.456468321059861637e+02,7.741735545540507246e+01,-1.500000000000000000e+01
9.100000000000000000e+01,4.400000000000000000e+01,-1.010000000000000000e+02

